Paper_ID,Title,Date,Spokesman
txt_01,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 29, 2023",29-Dec-23,Mao Ning
txt_02,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 28, 2023",28-Dec-23,Mao Ning
txt_03,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 27, 2023",27-Dec-23,Mao Ning
txt_04,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 26, 2023",26-Dec-23,Mao Ning
txt_05,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 25, 2023",25-Dec-23,Mao Ning
txt_06,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 22, 2023",22-Dec-23,Wang Wenbin
txt_07,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 21, 2023",21-Dec-23,Wang Wenbin
txt_08,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 20, 2023",20-Dec-23,Wang Wenbin
txt_09,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 19, 2023",19-Dec-23,Wang Wenbin
txt_10,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 18, 2023",18-Dec-23,Wang Wenbin
txt_11,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference onDecember 15, 2023",15-Dec-23,Mao Ning
txt_12,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 14, 2023",14-Dec-23,Mao Ning
txt_13,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 13, 2023",13-Dec-23,Mao Ning
txt_14,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 12, 2023",12-Dec-23,Mao Ning
txt_15,"Foreign Ministry Spokesperson Mao Nings Regular Press Conference on December 11, 2023",11-Dec-23,Mao Ning
txt_16,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 8, 2023",08-Dec-23,Wang Wenbin
txt_17,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 7, 2023",07-Dec-23,Wang Wenbin
txt_18,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 6, 2023",06-Dec-23,Wang Wenbin
txt_19,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 5, 2023",05-Dec-23,Wang Wenbin
txt_20,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 4, 2023",04-Dec-23,Wang Wenbin
txt_21,"Foreign Ministry Spokesperson Wang Wenbins Regular Press Conference on December 1, 2023",01-Dec-23,Wang Wenbin
